class,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
3,closed,713.0,713.0,0.2877960205078125,0.5124359130859375,0.5877219703570318,12
3,closed,715.0,715.0,0.283721923828125,0.5169677734375,0.5897065446759588,15
3,closed,716.0,716.0,0.2750244140625,0.3853759765625,0.4734480664676137,13
3,closed,717.0,717.0,0.27899169921875,0.40399169921875,0.49096401219500646,11
3,closed,718.0,718.0,0.28887939453125,0.531646728515625,0.6050616072154209,11
3,closed,719.0,719.0,0.287139892578125,0.415740966796875,0.505262178856658,11
3,closed,720.0,720.0,0.2800140380859375,0.41607666015625,0.5015253220446325,12
3,closed,721.0,721.0,0.291412353515625,0.5551910400390625,0.6270233255000738,12
3,closed,722.0,722.0,0.3077239990234375,0.49249267578125,0.5807263514540665,14
3,closed,723.0,723.0,0.28582763671875,0.4407958984375,0.5253555576859814,15
3,closed,724.0,724.0,0.2880706787109375,0.5029296875,0.5795886355871963,12
3,closed,725.0,725.0,0.317901611328125,0.5704803466796875,0.6530767645788623,12
3,closed,726.0,726.0,0.307525634765625,0.51116943359375,0.5965452253421829,14
3,closed,727.0,727.0,0.300445556640625,0.4598388671875,0.5492898290350717,15
3,closed,728.0,728.0,0.3285064697265625,0.458404541015625,0.5639603034575703,12
3,closed,730.0,730.0,0.2322540283203125,0.4661407470703125,0.520796629933683,14
3,closed,731.0,731.0,0.2151947021484375,0.4733428955078125,0.5199637069647022,14
3,closed,732.0,732.0,0.219879150390625,0.602142333984375,0.6410321607787348,10
3,closed,733.0,733.0,0.2476654052734375,0.4782867431640625,0.5386059428336657,14
3,closed,734.0,734.0,0.27178955078125,0.580535888671875,0.6410081730757552,13
3,closed,735.0,735.0,0.2353973388671875,0.500885009765625,0.5534416863172341,14
3,closed,736.0,736.0,0.2674560546875,0.60101318359375,0.6578370528044902,12
3,closed,737.0,737.0,0.248748779296875,0.5142059326171875,0.5712124791532456,16
3,closed,738.0,738.0,0.2727813720703125,0.593597412109375,0.653274494076961,24
3,closed,739.0,739.0,0.260589599609375,0.5867919921875,0.6420527871755947,27
3,closed,740.0,740.0,0.26593017578125,0.592926025390625,0.6498308472030014,29
3,closed,741.0,741.0,0.25177001953125,0.446868896484375,0.5129132025790807,25
3,closed,742.0,742.0,0.245697021484375,0.61688232421875,0.6640111657945372,23
3,closed,743.0,743.0,0.287689208984375,0.411102294921875,0.5017670553714021,11
3,closed,744.0,744.0,0.246429443359375,0.5378875732421875,0.591650667203867,12
3,closed,745.0,745.0,0.251495361328125,0.6321563720703125,0.680346673041519,12
3,closed,746.0,746.0,0.25201416015625,0.620086669921875,0.6693419269208081,15
3,closed,747.0,747.0,0.30126953125,0.633697509765625,0.7016664908222061,12
3,closed,748.0,748.0,0.273162841796875,0.6278076171875,0.6846607498149657,13
3,closed,824.0,824.0,0.3433380126953125,0.6432342529296875,0.7291305062220205,330
3,closed,825.0,825.0,0.34423828125,0.64837646484375,0.7340926606643283,353
3,closed,826.0,826.0,0.351043701171875,0.68548583984375,0.7701444778473322,351
3,closed,827.0,827.0,0.3566131591796875,0.6815948486328125,0.7692492983311091,404
3,closed,828.0,828.0,0.353515625,0.665069580078125,0.753187123804194,461
3,closed,829.0,829.0,0.360015869140625,0.667266845703125,0.7581928972284544,470
3,closed,830.0,830.0,0.3634490966796875,0.679840087890625,0.7708941503088563,468
3,closed,831.0,831.0,0.363037109375,0.67681884765625,0.768036259121983,516
3,closed,832.0,832.0,0.3697509765625,0.67724609375,0.7716074495289403,493
3,closed,833.0,833.0,0.3778839111328125,0.692291259765625,0.7887099838602953,490
3,closed,834.0,834.0,0.373321533203125,0.689544677734375,0.7841178672527077,500
3,closed,835.0,835.0,0.381591796875,0.7011260986328125,0.7982418841594067,502
3,closed,836.0,836.0,0.3747711181640625,0.675140380859375,0.7721838672731279,482
3,closed,837.0,837.0,0.387847900390625,0.6856689453125,0.7877613194384275,510
3,closed,838.0,838.0,0.3890380859375,0.692169189453125,0.7940080724640711,453
3,closed,839.0,839.0,0.3949737548828125,0.677764892578125,0.7844549169057872,438
3,closed,840.0,840.0,0.3915252685546875,0.6818695068359375,0.7862811585365026,396
3,closed,841.0,841.0,0.3994598388671875,0.6890716552734375,0.7964847198591286,404
3,closed,842.0,842.0,0.402618408203125,0.6866912841796875,0.7960191595636166,382
3,closed,843.0,843.0,0.41064453125,0.68743896484375,0.8007504364225965,361
3,closed,844.0,844.0,0.4146270751953125,0.683441162109375,0.799379405257874,394
3,closed,845.0,845.0,0.414031982421875,0.68408203125,0.7996191017899171,363
3,closed,846.0,846.0,0.4222412109375,0.6893310546875,0.8083717852390369,353
3,closed,847.0,847.0,0.422027587890625,0.684600830078125,0.804229806388968,323
3,closed,848.0,848.0,0.42840576171875,0.68902587890625,0.8113495907907717,255
3,closed,849.0,849.0,0.42950439453125,0.683197021484375,0.80698958796677,255
